_id,timestamp,device_id,package_name,application_name,application_version,error_short,error_long,error_condition,is_system_app
10,1499820672410,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.android.net.wifi.SHOW_NOTI_MESSAGE flg=0x10 cmp=com.android.settings/.wifi.WifiStatusReceiver (has extras) }",0,2,1
11,1499820751433,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
12,1499842843537,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.android.net.wifi.SHOW_NOTI_MESSAGE flg=0x10 cmp=com.android.settings/.wifi.WifiStatusReceiver (has extras) }",0,2,1
58,1499883121561,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451818,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_ON flg=0x50000010 }",0,2,0
59,1499883248464,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Interface do sistema",451818,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 }",0,2,0
60,1499883250196,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451818,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 }",0,2,0
13,1499906437641,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.kt.wificm,"Android system",374,java.lang.NullPointerException,0,1,1
14,1499933786686,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
15,1499992076038,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"System UI",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
16,1499992083136,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
17,1499992084004,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"System UI",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
18,1499992084727,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
19,1500033834456,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.android.net.wifi.SHOW_NOTI_MESSAGE flg=0x10 cmp=com.android.settings/.wifi.WifiStatusReceiver (has extras) }",0,2,1
61,1500136411697,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451818,"ANR Input dispatching timed out (Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.)",0,2,0
62,1500174033732,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451818,"ANR executing service com.whatsapp/.contact.sync.ContactsSyncAdapterService",0,2,0
20,1500206723516,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.android.net.wifi.SHOW_NOTI_MESSAGE flg=0x10 cmp=com.android.settings/.wifi.WifiStatusReceiver (has extras) }",0,2,1
63,1500217309258,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.facebook.katana,"Sistema Android",64682900,"ANR Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 39.  Wait queue head age: 5503.2ms.)",0,2,0
64,1500244608574,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.instagram.android,"Sistema Android",64630900,"ANR Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 40.  Wait queue head age: 5508.7ms.)",0,2,0
21,1500251014195,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.kt.wificm,"Android system",374,java.lang.NullPointerException,0,1,1
22,1500251171265,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.android.net.wifi.SHOW_NOTI_MESSAGE flg=0x10 cmp=com.android.settings/.wifi.WifiStatusReceiver (has extras) }",0,2,1
23,1500286402664,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
167,1500304743734,d58c3cb9-2543-4258-8695-ac3e310ba3ac,com.tenthbit.juliet,"Android system",82,"ANR executing service com.tenthbit.juliet/.core.PollingService",0,2,0
24,1500339069246,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
25,1500368595605,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.android.net.wifi.SHOW_NOTI_MESSAGE flg=0x10 cmp=com.android.settings/.wifi.WifiStatusReceiver (has extras) }",0,2,1
26,1500372263997,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,Settings,23,"ANR Broadcast of Intent { act=com.samsung.settings.action.directaccess.CLOSE_DIALOG flg=0x4000010 cmp=com.android.settings/.accessibility.directaccess.DirectAccessReceiver }",0,2,1
27,1500372376300,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.settings.action.directaccess.CLOSE_DIALOG flg=0x4000010 cmp=com.android.settings/.accessibility.directaccess.DirectAccessReceiver }",0,2,1
28,1500373016595,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
29,1500373388898,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
168,1500391192151,d58c3cb9-2543-4258-8695-ac3e310ba3ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.net.wifi.STATE_CHANGE flg=0x4000010 cmp=com.android.settings/.nearby.MountReceiver (has extras) }",0,2,1
169,1500391194557,d58c3cb9-2543-4258-8695-ac3e310ba3ac,com.android.settings,Settings,23,"ANR Broadcast of Intent { act=android.net.wifi.STATE_CHANGE flg=0x4000010 cmp=com.android.settings/.nearby.MountReceiver (has extras) }",0,2,1
30,1500425319600,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=com.samsung.android.net.wifi.SHOW_NOTI_MESSAGE flg=0x10 cmp=com.android.settings/.wifi.WifiStatusReceiver (has extras) }",0,2,1
65,1500471944430,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,WhatsApp,451818,"ANR Input dispatching timed out (Waiting to send key event because the focused window has not finished processing all of the input events that were previously delivered to it.  Outbound queue length: 0.  Wait queue length: 1.)",0,2,0
66,1500471944674,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451818,"ANR Input dispatching timed out (Waiting to send key event because the focused window has not finished processing all of the input events that were previously delivered to it.  Outbound queue length: 0.  Wait queue length: 1.)",0,2,0
128,1500473304435,08da45e3-bc56-4425-bad2-55d191676b79,com.avira.android,"Android System",4091,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
160,1500492965982,8229e049-dd7a-42d2-b037-3839b23be516,br.com.bb.android,"Sistema Android",282,java.lang.NullPointerException,0,1,0
31,1500510357330,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
32,1500512221991,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
33,1500515703656,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
34,1500515752960,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,Settings,23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
35,1500515756973,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"System UI",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
36,1500515833092,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
37,1500515844298,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"System UI",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
38,1500515955849,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
39,1500532341623,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
40,1500549901243,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
41,1500549902215,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"System UI",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
42,1500549903013,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
43,1500549958970,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
44,1500549959473,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"System UI",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
45,1500549960052,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
46,1500550130740,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
47,1500550131126,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"System UI",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
48,1500550131432,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
49,1500550801613,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,Settings,23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
50,1500550911614,0c735596-1a1c-4a35-bb02-55d90c4f86ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
